Winner,Loser,Score,Rounds,Runtime
UpClose,HorizontalSym,18,55,42
RMCQueenAI,Random,19,29,35774
Headshot,Corner,48,28,47
AlternateCorner,Corner,9,70,59
AlternateCorner,Mob,3,74,104
DiagonalSym,UpClose,0,78,9
Headshot,VerticalSym,22,46,89
UpClose,AlternateCorner,10,63,64
Headshot,UpClose,14,48,51
AlternateCorner,Mob,16,58,13
VerticalSym,Corner,2,78,17
Random,Corner,22,49,13
Random,VerticalSym,0,73,47
Random,Straight,7,58,15
Straight,VerticalSym,1,72,13
DiagonalSym,HorizontalSym,0,88,73
Assasin,Straight,20,71,63
Random,AlternateCorner,2,72,39
HorizontalSym,Mob,12,49,9
Corner,DiagonalSym,5,70,53
RMCQueenAI,Random,36,28,31087
AlternateCorner,Straight,8,71,17
AlternateCorner,VerticalSym,2,78,13
Straight,HorizontalSym,4,54,21
HorizontalSym,Assasin,4,57,45
DiagonalSym,Corner,0,73,47
Headshot,Mob,11,55,46
RMCQueenAI,UpClose,24,44,25531
UpClose,Straight,5,62,49
Assasin,Random,42,44,62
Straight,Random,1,74,15
VerticalSym,Straight,4,72,57
UpClose,Corner,16,45,9
VerticalSym,UpClose,3,72,11
DiagonalSym,VerticalSym,3,83,16
Assasin,UpClose,8,66,14
Assasin,UpClose,18,53,56
HorizontalSym,Corner,5,63,45
Headshot,UpClose,0,87,17
RMCQueenAI,HorizontalSym,11,48,28222
Headshot,Assasin,11,68,69
UpClose,Random,9,68,44
Headshot,HorizontalSym,35,40,49
RMCQueenAI,Headshot,27,37,38012
HorizontalSym,AlternateCorner,1,84,49
RMCQueenAI,Corner,28,37,14733
VerticalSym,Random,4,76,17
DiagonalSym,Corner,5,62,14
AlternateCorner,HorizontalSym,6,68,13
HorizontalSym,DiagonalSym,2,80,15
Random,Mob,10,52,10
RMCQueenAI,HorizontalSym,23,38,21814
Headshot,HorizontalSym,13,56,18
RMCQueenAI,Assasin,17,43,27491
Assasin,Random,75,27,77
Headshot,Mob,26,28,22
UpClose,Straight,14,55,14
Headshot,HorizontalSym,24,42,24
Assasin,HorizontalSym,6,65,61
RMCQueenAI,Straight,60,20,27841
Corner,DiagonalSym,2,61,13
HorizontalSym,Random,2,74,15
UpClose,Mob,5,71,10
Headshot,Straight,22,64,88
Headshot,Straight,37,53,67
RMCQueenAI,VerticalSym,15,52,23269
AlternateCorner,Straight,2,77,16
Random,Mob,25,53,12
RMCQueenAI,Random,26,35,31166
VerticalSym,UpClose,3,72,11
RMCQueenAI,Corner,34,29,33981
VerticalSym,UpClose,6,73,13
RMCQueenAI,Corner,41,26,25791
DiagonalSym,Straight,7,63,69
Random,HorizontalSym,3,80,47
Assasin,Mob,50,29,76
VerticalSym,Mob,2,37,7
Corner,DiagonalSym,13,49,24
Assasin,Random,27,60,70
AlternateCorner,Mob,10,59,55
Mob,Corner,1,60,13
RMCQueenAI,Assasin,17,43,27895
VerticalSym,Mob,9,59,45
Headshot,DiagonalSym,16,66,70
RMCQueenAI,Headshot,10,28,32581
AlternateCorner,Mob,9,72,63
RMCQueenAI,DiagonalSym,18,51,23218
Assasin,Headshot,10,65,57
Assasin,Straight,36,44,19
RMCQueenAI,VerticalSym,17,47,22171
Random,Straight,8,69,35
RMCQueenAI,DiagonalSym,10,42,23088
RMCQueenAI,VerticalSym,32,40,23774
RMCQueenAI,AlternateCorner,14,49,19514
Headshot,Straight,30,45,54
HorizontalSym,Mob,0,61,66
HorizontalSym,Random,1,80,59
Straight,Mob,13,51,11
AlternateCorner,Mob,15,64,45
Assasin,VerticalSym,13,63,51
RMCQueenAI,Corner,32,33,30733
DiagonalSym,Corner,2,52,12
Corner,Straight,1,68,48
DiagonalSym,Mob,6,62,12
Assasin,DiagonalSym,18,66,55
DiagonalSym,UpClose,0,78,42
Random,Straight,0,79,51
Straight,Mob,13,46,43
Headshot,Straight,20,46,111
Mob,Straight,9,45,42
UpClose,Random,15,54,9
HorizontalSym,Straight,8,54,14
VerticalSym,DiagonalSym,4,80,57
UpClose,HorizontalSym,12,52,8
RMCQueenAI,Mob,45,24,24185
DiagonalSym,Straight,4,65,44
Headshot,UpClose,14,48,20
UpClose,Straight,28,34,6
Random,AlternateCorner,6,63,48
DiagonalSym,HorizontalSym,0,70,12
AlternateCorner,Random,10,60,15
RMCQueenAI,VerticalSym,20,40,21506
Mob,HorizontalSym,4,65,69
Random,Corner,6,71,48
Headshot,AlternateCorner,21,52,15
RMCQueenAI,UpClose,12,41,26848
Straight,VerticalSym,8,60,46
RMCQueenAI,VerticalSym,14,52,21469
RMCQueenAI,Mob,22,22,23488
Assasin,DiagonalSym,26,54,71
HorizontalSym,AlternateCorner,1,84,49
DiagonalSym,UpClose,0,83,9
Mob,Corner,12,57,11
Headshot,VerticalSym,34,53,18
UpClose,AlternateCorner,10,63,11
UpClose,Random,7,62,44
RMCQueenAI,Assasin,19,36,27390
UpClose,Random,13,61,11
Straight,Mob,4,51,12
Assasin,Random,52,21,16
UpClose,Mob,8,60,9
VerticalSym,Straight,2,70,60
Assasin,Corner,57,28,10
VerticalSym,Corner,1,68,12
Assasin,Corner,30,37,76
UpClose,Random,36,47,9
Headshot,Corner,41,36,53
Assasin,AlternateCorner,14,63,49
RMCQueenAI,Straight,29,28,37219
RMCQueenAI,Straight,51,23,36966
Headshot,HorizontalSym,19,57,71
RMCQueenAI,Mob,16,29,28014
UpClose,HorizontalSym,18,55,9
Headshot,Straight,63,31,74
VerticalSym,Corner,19,49,11
UpClose,DiagonalSym,5,74,9
VerticalSym,DiagonalSym,4,72,44
Headshot,Corner,19,33,50
UpClose,Random,2,78,12
